tid	target_chembl_id	pref_name	tax_id	organism	target_type	uniprot	gene_symbol	prot_fam
181	CHEMBL2058	B-lymphocyte antigen CD20	9606	Homo sapiens	SINGLE PROTEIN	P11836	MS4A1	ion channel
182	CHEMBL1778	Interleukin-2 receptor alpha chain	9606	Homo sapiens	SINGLE PROTEIN	P01589	IL2RA	other
184	CHEMBL1892	Glutamate carboxypeptidase II	9606	Homo sapiens	SINGLE PROTEIN	Q04609	FOLH1	other
185	CHEMBL1825	TNF-alpha	9606	Homo sapiens	SINGLE PROTEIN	P01375	TNF	other
187	CHEMBL1783	Vascular endothelial growth factor A	9606	Homo sapiens	SINGLE PROTEIN	P15692	VEGFA	other
188	CHEMBL1824	Receptor protein-tyrosine kinase erbB-2	9606	Homo sapiens	SINGLE PROTEIN	P04626	ERBB2	kinase
190	CHEMBL1803	Leukocyte adhesion glycoprotein LFA-1 alpha	9606	Homo sapiens	SINGLE PROTEIN	P20701	ITGAL	other
193	CHEMBL2016	Coagulation factor IX	9606	Homo sapiens	SINGLE PROTEIN	P00740	F9	other
194	CHEMBL244	Coagulation factor X	9606	Homo sapiens	SINGLE PROTEIN	P00742	F10	other
195	CHEMBL2059	TNF-beta	9606	Homo sapiens	SINGLE PROTEIN	P01374	LTA	other
196	CHEMBL2040	T-cell surface antigen CD2	9606	Homo sapiens	SINGLE PROTEIN	P06729	CD2	other
197	CHEMBL1913	Platelet-derived growth factor receptor beta	9606	Homo sapiens	SINGLE PROTEIN	P09619	PDGFRB	kinase
198	CHEMBL1959	Interleukin-1 receptor	9606	Homo sapiens	SINGLE PROTEIN	P14778	IL1R1	other
200	CHEMBL1887	Interferon-alpha/beta receptor alpha chain	9606	Homo sapiens	SINGLE PROTEIN	P17181	IFNAR1	other
201	CHEMBL1817	Erythropoietin receptor	9606	Homo sapiens	SINGLE PROTEIN	P19235	EPOR	other
203	CHEMBL1912	CAMPATH-1 antigen	9606	Homo sapiens	SINGLE PROTEIN	P31358	CD52	other
206	CHEMBL2050	Interleukin 11 receptor alpha	9606	Homo sapiens	SINGLE PROTEIN	Q14626	IL11RA	other
207	CHEMBL1996	Granulocyte colony stimulating factor receptor	9606	Homo sapiens	SINGLE PROTEIN	Q99062	CSF3R	other
208	CHEMBL3000	Elastase 1	9606	Homo sapiens	SINGLE PROTEIN	Q9UNI1	CELA1	other
214	CHEMBL1821	Muscarinic acetylcholine receptor M4	9606	Homo sapiens	SINGLE PROTEIN	P08173	CHRM4	other
215	CHEMBL2035	Muscarinic acetylcholine receptor M5	9606	Homo sapiens	SINGLE PROTEIN	P08912	CHRM5	other
216	CHEMBL1942	Alpha-2b adrenergic receptor	9606	Homo sapiens	SINGLE PROTEIN	P18089	ADRA2B	other
218	CHEMBL1916	Alpha-2c adrenergic receptor	9606	Homo sapiens	SINGLE PROTEIN	P18825	ADRA2C	other
219	CHEMBL245	Muscarinic acetylcholine receptor M3	9606	Homo sapiens	SINGLE PROTEIN	P20309	CHRM3	other
220	CHEMBL1850	Dopamine D5 receptor	9606	Homo sapiens	SINGLE PROTEIN	P21918	DRD5	other
221	CHEMBL1920	GABA receptor beta-2 subunit	9606	Homo sapiens	SINGLE PROTEIN	P47870	GABRB2	ion channel
222	CHEMBL1904	Glutamate [NMDA] receptor subunit epsilon 2	9606	Homo sapiens	SINGLE PROTEIN	Q13224	GRIN2B	ion channel
223	CHEMBL2062	Ryanodine receptor 3	9606	Homo sapiens	SINGLE PROTEIN	Q15413	RYR3	ion channel
224	CHEMBL1930	Vitamin k epoxide reductase complex subunit 1 isoform 1	9606	Homo sapiens	SINGLE PROTEIN	Q9BQB6	VKORC1	other
226	CHEMBL246	Beta-3 adrenergic receptor	9606	Homo sapiens	SINGLE PROTEIN	P13945	ADRB3	other
227	CHEMBL1833	Serotonin 2b (5-HT2b) receptor	9606	Homo sapiens	SINGLE PROTEIN	P41595	HTR2B	other
229	CHEMBL1834	Ig epsilon chain C region	9606	Homo sapiens	SINGLE PROTEIN	P01854	IGHE	other
232	CHEMBL2060	Lipoprotein lipase	9606	Homo sapiens	SINGLE PROTEIN	P06858	LPL	other
233	CHEMBL1975	T-cell surface glycoprotein CD3 epsilon chain	9606	Homo sapiens	SINGLE PROTEIN	P07766	CD3E	other
234	CHEMBL1957	Insulin-like growth factor I receptor	9606	Homo sapiens	SINGLE PROTEIN	P08069	IGF1R	kinase
235	CHEMBL248	Leukocyte elastase	9606	Homo sapiens	SINGLE PROTEIN	P08246	ELANE	other
236	CHEMBL1944	Neprilysin	9606	Homo sapiens	SINGLE PROTEIN	P08473	MME	other
237	CHEMBL4618	Leukotriene A4 hydrolase	9606	Homo sapiens	SINGLE PROTEIN	P09960	LTA4H	other
238	CHEMBL1936	Stem cell growth factor receptor	9606	Homo sapiens	SINGLE PROTEIN	P10721	KIT	kinase
240	CHEMBL2003	Retinoic acid receptor gamma	9606	Homo sapiens	SINGLE PROTEIN	P13631	RARG	nuclear_receptor
241	CHEMBL1958	3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I	9606	Homo sapiens	SINGLE PROTEIN	P14060	HSD3B1	other
242	CHEMBL1900	Aldose reductase	9606	Homo sapiens	SINGLE PROTEIN	P15121	AKR1B1	other
243	CHEMBL1907	Aminopeptidase N	9606	Homo sapiens	SINGLE PROTEIN	P15144	ANPEP	other
244	CHEMBL1988	Atrial natriuretic peptide receptor A	9606	Homo sapiens	SINGLE PROTEIN	P16066	NPR1	other
245	CHEMBL1989	Renal dipeptidase	9606	Homo sapiens	SINGLE PROTEIN	P16444	DPEP1	other
246	CHEMBL2069	Thromboxane A2 receptor	9606	Homo sapiens	SINGLE PROTEIN	P21731	TBXA2R	other
247	CHEMBL1785	Endothelin receptor ET-B	9606	Homo sapiens	SINGLE PROTEIN	P24530	EDNRB	other
248	CHEMBL1835	Thromboxane-A synthase	9606	Homo sapiens	SINGLE PROTEIN	P24557	TBXAS1	other
249	CHEMBL252	Endothelin receptor ET-A	9606	Homo sapiens	SINGLE PROTEIN	P25101	EDNRA	other
250	CHEMBL249	Neurokinin 1 receptor	9606	Homo sapiens	SINGLE PROTEIN	P25103	TACR1	other
251	CHEMBL250	Platelet activating factor receptor	9606	Homo sapiens	SINGLE PROTEIN	P25105	PTAFR	other
252	CHEMBL251	Adenosine A2a receptor	9606	Homo sapiens	SINGLE PROTEIN	P29274	ADORA2A	other
259	CHEMBL253	Cannabinoid CB2 receptor	9606	Homo sapiens	SINGLE PROTEIN	P34972	CNR2	other
260	CHEMBL1810	Thyrotropin-releasing hormone receptor	9606	Homo sapiens	SINGLE PROTEIN	P34981	TRHR	other
261	CHEMBL1811	Prostanoid EP1 receptor	9606	Homo sapiens	SINGLE PROTEIN	P34995	PTGER1	other
262	CHEMBL1836	Prostanoid EP4 receptor	9606	Homo sapiens	SINGLE PROTEIN	P35408	PTGER4	other
265	CHEMBL1864	Thrombopoietin receptor	9606	Homo sapiens	SINGLE PROTEIN	P40238	MPL	other
266	CHEMBL2004	Retinoid X receptor gamma	9606	Homo sapiens	SINGLE PROTEIN	P48443	RXRG	nuclear_receptor
267	CHEMBL1838	Vesicular amine transporter 1	9606	Homo sapiens	SINGLE PROTEIN	P54219	SLC18A1	other
270	CHEMBL2008	Retinoic acid receptor beta	9606	Homo sapiens	SINGLE PROTEIN	P10826	RARB	nuclear_receptor
271	CHEMBL1947	Thyroid hormone receptor beta-1	9606	Homo sapiens	SINGLE PROTEIN	P10828	THRB	nuclear_receptor
272	CHEMBL1869	Ornithine decarboxylase	9606	Homo sapiens	SINGLE PROTEIN	P11926	ODC1	other
275	CHEMBL2061	Retinoid X receptor alpha	9606	Homo sapiens	SINGLE PROTEIN	P19793	RXRA	nuclear_receptor
276	CHEMBL254	Phosphodiesterase 4A	9606	Homo sapiens	SINGLE PROTEIN	P27815		other
277	CHEMBL1870	Retinoid X receptor beta	9606	Homo sapiens	SINGLE PROTEIN	P28702	RXRB	nuclear_receptor
278	CHEMBL255	Adenosine A2b receptor	9606	Homo sapiens	SINGLE PROTEIN	P29275	ADORA2B	other
279	CHEMBL1805	Serotonin 1f (5-HT1f) receptor	9606	Homo sapiens	SINGLE PROTEIN	P30939	HTR1F	other
280	CHEMBL256	Adenosine A3 receptor	9606	Homo sapiens	SINGLE PROTEIN	P0DMS8	ADORA3	other
282	CHEMBL1878	Calcium sensing receptor	9606	Homo sapiens	SINGLE PROTEIN	P41180	CASR	other
283	CHEMBL1911	Succinate semialdehyde dehydrogenase	9606	Homo sapiens	SINGLE PROTEIN	P51649	ALDH5A1	other
285	CHEMBL1886	Potassium channel, inwardly rectifying, subfamily J, member 11	9606	Homo sapiens	SINGLE PROTEIN	Q14654	KCNJ11	ion channel
286	CHEMBL2063	Ceramide glucosyltransferase	9606	Homo sapiens	SINGLE PROTEIN	Q16739	UGCG	other
321	CHEMBL1993	DNA (cytosine-5)-methyltransferase 1	9606	Homo sapiens	SINGLE PROTEIN	P26358	DNMT1	other
322	CHEMBL1992	DNA (cytosine-5)-methyltransferase 3A	9606	Homo sapiens	SINGLE PROTEIN	Q9Y6K1	DNMT3A	other
329	CHEMBL2027	Niemann-Pick C1-like protein 1	9606	Homo sapiens	SINGLE PROTEIN	Q9UHC9	NPC1L1	other
10001	CHEMBL4712	Neutral sphingomyelinase	9606	Homo sapiens	SINGLE PROTEIN	O60906	SMPD2	other
10003	CHEMBL2581	Cathepsin D	9606	Homo sapiens	SINGLE PROTEIN	P07339	CTSD	other
10004	CHEMBL4713	Carboxypeptidase N, catalytic subunit	9606	Homo sapiens	SINGLE PROTEIN	P15169	CPN1	other
10006	CHEMBL2134	Cyclin-dependent kinase 4	10090	Mus musculus	SINGLE PROTEIN	P30285	CDK4	kinase
10007	CHEMBL2582	Cyclin A2	9606	Homo sapiens	SINGLE PROTEIN	P20248	CCNA2	other
10008	CHEMBL4329	Kappa opioid receptor	10090	Mus musculus	SINGLE PROTEIN	P33534	OPRK1	other
10009	CHEMBL5113	Orexin receptor 1	9606	Homo sapiens	SINGLE PROTEIN	O43613	HCRTR1	other
10010	CHEMBL2135	P2X purinoceptor 2	10116	Rattus norvegicus	SINGLE PROTEIN	P49653	P2RX2	ion channel
10012	CHEMBL4714	Pyrimidinergic receptor P2Y6	9606	Homo sapiens	SINGLE PROTEIN	Q15077	P2RY6	other
10016	CHEMBL4716	Phosphodiesterase 7B	9606	Homo sapiens	SINGLE PROTEIN	Q9NP56	PDE7B	other
10019	CHEMBL2136	Pepsinogen C	9606	Homo sapiens	SINGLE PROTEIN	P20142	PGC	other
10020	CHEMBL4763	Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform	9606	Homo sapiens	SINGLE PROTEIN	Q15172	PPP2R5A	other
10021	CHEMBL2583	Serotonin 2b (5-HT2b) receptor	10090	Mus musculus	SINGLE PROTEIN	Q02152	HTR2B	other
10022	CHEMBL4764	Serotonin 7 (5-HT7) receptor	10090	Mus musculus	SINGLE PROTEIN	P32304	HTR7	other
10023	CHEMBL2584	Neuronal acetylcholine receptor protein alpha-2 subunit	10116	Rattus norvegicus	SINGLE PROTEIN	P12389	CHRNA2	ion channel
