name	mechanism_of_action	target_moa	target_chembl_id	indication_efo_term	efo_id	max_phase_for_ind	action_type
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	asthma	EFO:0000270	1	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	Oculocutaneous albinism	Orphanet:55	2	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	Tourette syndrome	EFO:0004895	1	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	stroke	EFO:0000712	3	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	Spinal cord injury	EFO:1001919	1	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	orthostatic hypotension	EFO:0005252	1	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	age-related macular degeneration	EFO:0001365	2	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	Angelman syndrome	Orphanet:72	2	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	cocaine dependence	EFO:0002610	2	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	restless legs syndrome	EFO:0004270	3	AGONIST
LEVODOPA	Dopamine D3 receptor agonist	DRD3	CHEMBL234	Parkinson's disease	EFO:0002508	4	AGONIST
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	age-related macular degeneration	EFO:0001365	1	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	renal carcinoma	EFO:0002890	1	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	glioblastoma multiforme	EFO:0000519	1	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	chronic myelogenous leukemia	EFO:0000339	1	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	sarcoma	EFO:0000691	2	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	breast carcinoma	EFO:0000305	2	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	diffuse large B-cell lymphoma	EFO:0000403	2	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	cutaneous melanoma	EFO:0000389	2	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	breast neoplasm	EFO:0003869	2	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	mesothelioma	EFO:0000588	2	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	non-small cell lung carcinoma	EFO:0003060	2	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	pancreatic carcinoma	EFO:0002618	1	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	prostate carcinoma	EFO:0001663	2	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	mesothelioma	EFO:0000588	2	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	multiple myeloma	EFO:0001378	2	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	non-small cell lung carcinoma	EFO:0003060	2	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	acute myeloid leukemia	EFO:0000222	1	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	age-related macular degeneration	EFO:0001365	1	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	acute myeloid leukemia	EFO:0000222	1	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	breast carcinoma	EFO:0000305	2	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	prostate carcinoma	EFO:0001663	2	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	glioblastoma multiforme	EFO:0000519	1	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	central nervous system cancer	EFO:0000326	1	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	pancreatic carcinoma	EFO:0002618	1	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	renal carcinoma	EFO:0002890	1	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	primary myelofibrosis	EFO:0002430	1	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	melanoma	EFO:0000756	2	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	multiple myeloma	EFO:0001378	2	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	cutaneous melanoma	EFO:0000389	2	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	sarcoma	EFO:0000691	2	INHIBITOR
VATALANIB	Macrophage colony stimulating factor receptor inhibitor	CSF1R	CHEMBL1844	chronic myelogenous leukemia	EFO:0000339	1	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	melanoma	EFO:0000756	2	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	breast neoplasm	EFO:0003869	2	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	central nervous system cancer	EFO:0000326	1	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	diffuse large B-cell lymphoma	EFO:0000403	2	INHIBITOR
VATALANIB	Stem cell growth factor receptor inhibitor	KIT	CHEMBL1936	primary myelofibrosis	EFO:0002430	1	INHIBITOR
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	pain	EFO:0003843	2	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	hepatitis C infection	EFO:0003047	2	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	Barrett's esophagus	EFO:0000280	0	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	migraine without aura	EFO:0005296	2	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	type II diabetes mellitus	EFO:0001360	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	metamphetamine dependence	EFO:0004701	1	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	breast carcinoma	EFO:0000305	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	type I diabetes mellitus	EFO:0001359	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	Hepatitis, Alcoholic	EFO:1001345	1	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	congestive heart failure	EFO:0000373	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	stroke	EFO:0000712	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	hypertension	EFO:0000537	4	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	heart failure	EFO:0003144	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	congestive heart failure	EFO:0000373	4	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	heart disease	EFO:0003777	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	Proteinuria	HP:0000093	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	hypertrophic cardiomyopathy	EFO:0000538	2	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	migraine with aura	EFO:0005295	2	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	diabetes mellitus	EFO:0000400	2	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	hypertension	EFO:0000537	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	atrial fibrillation	EFO:0000275	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	aortic stenosis	EFO:0000266	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	heart failure	EFO:0003144	4	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	type I diabetes mellitus	EFO:0001359	3	ANTAGONIST
CANDESARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	cocaine dependence	EFO:0002610	2	ANTAGONIST
TELMISARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	metabolic syndrome	EFO:0000195	3	ANTAGONIST
TELMISARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	Alzheimers disease	EFO:0000249	1	ANTAGONIST
TELMISARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	heart disease	EFO:0003777	3	ANTAGONIST
TELMISARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	HIV infection	EFO:0000764	2	ANTAGONIST
TELMISARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	diabetic nephropathy	EFO:0000401	3	ANTAGONIST
TELMISARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	hypertension	EFO:0000537	3	ANTAGONIST
TELMISARTAN	Type-1 angiotensin II receptor antagonist	AGTR1	CHEMBL227	HIV-1 infection	EFO:0000180	2	ANTAGONIST
DIENESTROL	Estrogen receptor alpha agonist	ESR1	CHEMBL206	Dengue Hemorrhagic Fever	EFO:0004227	1	AGONIST
TALNETANT	Neurokinin 3 receptor antagonist	TACR3	CHEMBL4429	irritable bowel syndrome	EFO:0000555	2	ANTAGONIST
ISOFLUROPHATE	Acetylcholinesterase inhibitor	ACHE	CHEMBL220	glaucoma	EFO:0000516	4	INHIBITOR
MIGLUSTAT	Ceramide glucosyltransferase inhibitor	UGCG	CHEMBL2063	Gaucher disease	Orphanet:355	3	INHIBITOR
MIGLUSTAT	Ceramide glucosyltransferase inhibitor	UGCG	CHEMBL2063	Cystic fibrosis	Orphanet:586	2	INHIBITOR
MIGLUSTAT	Ceramide glucosyltransferase inhibitor	UGCG	CHEMBL2063	Sandhoff disease	Orphanet:796	3	INHIBITOR
MIGLUSTAT	Ceramide glucosyltransferase inhibitor	UGCG	CHEMBL2063	Niemann-Pick disease type C	Orphanet:646	3	INHIBITOR
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	migraine disorder	EFO:0003821	1	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	Alzheimers disease	EFO:0000249	2	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	uterine fibroid	EFO:0000731	3	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	coronary artery disease	EFO:0000378	2	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	atherosclerosis	EFO:0003914	2	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	breast neoplasm	EFO:0003869	3	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	breast carcinoma	EFO:0000305	3	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	infertility	EFO:0000545	3	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	epilepsy	EFO:0000474	3	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	polycystic ovary syndrome	EFO:0000660	2	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	HIV-1 infection	EFO:0000180	2	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	Ovarian hyperstimulation syndrome	Orphanet:64739	3	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	Vulvar Lichen Sclerosus	EFO:1000623	2	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	cocaine dependence	EFO:0002610	2	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	premature birth	EFO:0003917	3	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	marijuana dependence	EFO:0004218	0	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	nicotine dependence	EFO:0003768	2	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	dysplasia of cervix	EFO:1000910	2	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	type I diabetes mellitus	EFO:0001359	1	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	preeclampsia	EFO:0000668	2	AGONIST
PROGESTERONE	Progesterone receptor agonist	PGR	CHEMBL208	endometrial neoplasm	EFO:0004230	2	AGONIST
DORAMAPIMOD	MAP kinase p38 alpha inhibitor	MAPK14	CHEMBL260	psoriasis	EFO:0000676	2	INHIBITOR
DORAMAPIMOD	MAP kinase p38 alpha inhibitor	MAPK14	CHEMBL260	rheumatoid arthritis	EFO:0000685	2	INHIBITOR
CALCIFEDIOL	Vitamin D receptor agonist	VDR	CHEMBL1977	myocardial infarction	EFO:0000612	3	AGONIST
CALCIFEDIOL	Vitamin D receptor agonist	VDR	CHEMBL1977	vitamin D deficiency	EFO:0003762	0	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	multiple sclerosis	EFO:0003885	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	bone fracture	EFO:0003931	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	tibia fracture	EFO:0003944	1	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	allergy	EFO:0003785	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	inflammation	MP:0001845	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	X-linked adrenoleukodystrophy	Orphanet:43	1	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	chronic obstructive pulmonary disease	EFO:0000341	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	polyp	EFO:0000662	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	abnormal glucose tolerance	EFO:0002546	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	type I diabetes mellitus	EFO:0001359	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	optic neuritis	EFO:0007405	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	systemic lupus erythematosus	EFO:0002690	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	X-linked hypophosphatemia	Orphanet:89936	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	gestational diabetes	EFO:0004593	1	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	pneumonia	EFO:0003106	1	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	osteoarthritis	EFO:0002506	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	psoriasis	EFO:0000676	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	colorectal adenoma	EFO:0005406	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	male infertility	EFO:0004248	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	diabetes mellitus	EFO:0000400	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	postmenopausal osteoporosis	EFO:0003854	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	osteopenia	HP:0000938	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	prostate carcinoma	EFO:0001663	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	HIV-1 infection	EFO:0000180	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	skin disease	EFO:0000701	0	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	heart failure	EFO:0003144	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	atopic eczema	EFO:0000274	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	chronic lymphocytic leukemia	EFO:0000095	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	osteitis deformans	EFO:0004261	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	melanoma	EFO:0000756	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	Tuberculosis	Orphanet:3389	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	hepatitis C infection	EFO:0003047	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	Crohn's disease	EFO:0000384	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	metabolic syndrome	EFO:0000195	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	chronic childhood arthritis	EFO:0002609	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	glioblastoma multiforme	EFO:0000519	1	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	obesity	EFO:0001073	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	vitamin D deficiency	EFO:0003762	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	ovarian carcinoma	EFO:0001075	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	breast carcinoma	EFO:0000305	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	chronic kidney disease	EFO:0003884	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	HIV infection	EFO:0000764	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	AIDS	EFO:0000765	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	allergic conjunctivitis	EFO:0007141	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	urticaria	EFO:0005531	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	polycystic ovary syndrome	EFO:0000660	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	pulmonary tuberculosis	EFO:1000049	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	hyperlipidemia	EFO:0003774	1	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	Disorder of lipid metabolism	Orphanet:309005	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	prediabetes syndrome	EFO:1001121	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	prostate adenocarcinoma	EFO:0000673	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	lymphoid neoplasm	EFO:0001642	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	influenza infection	EFO:0001669	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	type II diabetes mellitus	EFO:0001360	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	Parkinson's disease	EFO:0002508	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	acute myeloid leukemia	EFO:0000222	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	vitamin deficiency	EFO:0005878	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	osteoporosis	EFO:0003882	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	skin neoplasm	EFO:0004198	1	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	colorectal carcinoma	EFO:1001951	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	irritable bowel syndrome	EFO:0000555	1	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	asthma	EFO:0000270	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	infection	EFO:0000544	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	Staphylococcus aureus infection	EFO:0005681	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	relapsing-remitting multiple sclerosis	EFO:0003929	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	Neurofibromatosis type 1	Orphanet:636	2	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	Sickle cell anemia	Orphanet:232	1	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	ulcerative colitis	EFO:0000729	3	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	Barrett's esophagus	EFO:0000280	0	AGONIST
CHOLECALCIFEROL	Vitamin D receptor agonist	VDR	CHEMBL1977	hip fracture	EFO:0003964	3	AGONIST
AMINOCAPROIC ACID	Tissue-type plasminogen activator inhibitor	PLAT	CHEMBL1873	rosacea	EFO:1000760	0	INHIBITOR
AMINOCAPROIC ACID	Plasminogen inhibitor	PLG	CHEMBL1801	aortic disease	EFO:0005775	0	INHIBITOR
AMINOCAPROIC ACID	Plasminogen inhibitor	PLG	CHEMBL1801	Craniosynostosis	Orphanet:1531	2	INHIBITOR
AMINOCAPROIC ACID	Tissue-type plasminogen activator inhibitor	PLAT	CHEMBL1873	inflammation	MP:0001845	2	INHIBITOR
AMINOCAPROIC ACID	Plasminogen inhibitor	PLG	CHEMBL1801	hemorrhage	MP:0001914	4	INHIBITOR
AMINOCAPROIC ACID	Tissue-type plasminogen activator inhibitor	PLAT	CHEMBL1873	hemorrhage	MP:0001914	4	INHIBITOR
AMINOCAPROIC ACID	Tissue-type plasminogen activator inhibitor	PLAT	CHEMBL1873	Craniosynostosis	Orphanet:1531	2	INHIBITOR
AMINOCAPROIC ACID	Tissue-type plasminogen activator inhibitor	PLAT	CHEMBL1873	aortic disease	EFO:0005775	0	INHIBITOR
AMINOCAPROIC ACID	Tissue-type plasminogen activator inhibitor	PLAT	CHEMBL1873	intracerebral hemorrhage	EFO:0005669	1	INHIBITOR
AMINOCAPROIC ACID	Plasminogen inhibitor	PLG	CHEMBL1801	intracerebral hemorrhage	EFO:0005669	1	INHIBITOR
AMINOCAPROIC ACID	Plasminogen inhibitor	PLG	CHEMBL1801	inflammation	MP:0001845	2	INHIBITOR
AMINOCAPROIC ACID	Plasminogen inhibitor	PLG	CHEMBL1801	rosacea	EFO:1000760	0	INHIBITOR
LATANOPROST ACID	Prostanoid FP receptor agonist	PTGFR	CHEMBL1987	glaucoma	EFO:0000516	4	AGONIST
LATANOPROST ACID	Prostanoid FP receptor agonist	PTGFR	CHEMBL1987	open-angle glaucoma	EFO:0004190	3	AGONIST
LATANOPROST ACID	Prostanoid FP receptor agonist	PTGFR	CHEMBL1987	ocular hypertension	EFO:1001069	3	AGONIST
LATANOPROST ACID	Prostanoid FP receptor agonist	PTGFR	CHEMBL1987	Meniere disease	EFO:0006862	2	AGONIST
